timestamp,lat,long,alt,pm1,pm10,pm25
2020-12-02 11:10:51.302877,50.75422668457031,5.04409313201904,67.80000305175781,6,6,6
2020-12-02 11:10:56.401381,50.75471115112305,5.043853282928466,67.80000305175781,7,10,7
2020-12-02 11:11:00.845498,50.7548942565918,5.043789863586425,67.80000305175781,7,7,7
2020-12-02 11:11:06.012272,50.75491714477539,5.043791770935058,67.80000305175781,7,7,7
2020-12-02 11:11:11.538785,50.75493621826172,5.043769836425781,67.9000015258789,7,10,7
2020-12-02 11:11:16.275303,50.75482177734375,5.043808460235595,67.9000015258789,7,10,7
2020-12-02 11:11:21.422415,50.754661560058594,5.043875217437744,67.80000305175781,7,10,7
2020-12-02 11:11:26.500351,50.754661560058594,5.043875217437744,67.80000305175781,7,10,7
2020-12-02 11:11:30.929396,50.754661560058594,5.043875217437744,67.80000305175781,7,10,7
2020-12-02 11:11:36.099809,50.754661560058594,5.043875217437744,67.80000305175781,7,11,8
2020-12-02 11:11:41.306302,50.754661560058594,5.043875217437744,67.80000305175781,7,11,8
2020-12-02 11:11:46.340747,50.754661560058594,5.043875217437744,67.80000305175781,6,6,6
2020-12-02 11:11:51.454650,50.754661560058594,5.043911457061767,67.80000305175781,6,6,6
2020-12-02 11:11:56.561608,50.754669189453125,5.0439081192016,67.80000305175781,6,6,6
2020-12-02 11:12:01.003545,50.75467300415039,5.043906688690185,67.80000305175781,6,6,6
2020-12-02 11:12:06.671987,50.75467300415039,5.043906688690185,67.80000305175781,6,6,6
2020-12-02 11:12:11.325289,50.75467300415039,5.043906688690185,67.80000305175781,6,6,6
2020-12-02 11:12:16.445544,50.75467300415039,5.043906688690185,67.80000305175781,6,6,6
2020-12-02 11:12:21.918470,50.75467300415039,5.043906688690185,67.80000305175781,6,6,6
2020-12-02 11:12:27.001943,50.75467300415039,5.043906688690185,67.80000305175781,6,6,6
2020-12-02 11:12:31.088796,50.75472640991211,5.043781757354736,67.9000015258789,6,6,6
2020-12-02 11:16:56.717685,50.75446701049805,5.04379510879516,68.19999694824219,7,7,7
2020-12-02 11:17:02.007562,50.75446701049805,5.04379510879516,68.19999694824219,7,7,7
2020-12-02 11:17:06.951938,50.75446701049805,5.04379510879516,68.19999694824219,7,10,7
2020-12-02 11:17:12.129858,50.75446701049805,5.04379510879516,68.19999694824219,7,10,7
2020-12-02 11:17:17.568742,50.75446701049805,5.04379510879516,68.19999694824219,7,7,7
2020-12-02 11:17:22.295880,50.75446701049805,5.04379510879516,68.19999694824219,7,7,7
2020-12-02 11:17:26.978789,50.75446701049805,5.04379510879516,68.19999694824219,7,7,7
2020-12-02 11:17:31.999015,50.75446701049805,5.04379510879516,68.19999694824219,7,7,7
2020-12-02 11:17:37.117552,50.75446701049805,5.04379510879516,68.19999694824219,6,6,6
2020-12-02 11:17:42.256888,50.75446701049805,5.04379510879516,68.19999694824219,7,7,7
2020-12-02 11:17:47.331394,50.75446701049805,5.04379510879516,68.19999694824219,7,7,7
2020-12-02 11:17:52.470337,50.75446701049805,5.04379510879516,68.19999694824219,6,6,6
2020-12-02 11:17:56.876524,50.75446701049805,5.04379510879516,68.19999694824219,6,6,6
2020-12-02 11:18:02.138296,50.75446701049805,5.04379510879516,68.19999694824219,7,7,7
2020-12-02 11:18:07.202389,50.75446701049805,5.04379510879516,68.19999694824219,7,7,7
2020-12-02 11:18:12.290893,50.75446701049805,5.04379510879516,68.19999694824219,6,6,6
2020-12-02 11:18:17.479712,50.75446701049805,5.04379510879516,68.19999694824219,6,6,6
2020-12-02 11:18:22.500340,50.75446701049805,5.04379510879516,68.19999694824219,7,7,7
2020-12-02 11:18:26.924127,50.754302978515625,5.043875217437744,68.19999694824219,6,9,6
2020-12-02 11:18:32.091663,50.75424575805664,5.04391479492187,68.30000305175781,6,13,7
2020-12-02 11:18:37.204558,50.75422286987305,5.043933391571044,68.30000305175781,6,13,7
2020-12-02 11:18:42.330812,50.754215240478516,5.04395008087158,68.30000305175781,6,13,7
2020-12-02 11:18:47.475917,50.75419998168945,5.043968200683593,68.4000015258789,6,13,7
2020-12-02 11:18:52.650617,50.754146575927734,5.044000148773193,68.4000015258789,6,14,8
2020-12-02 11:19:07.286102,50.75405502319336,5.04404163360595,68.5,6,13,7
2020-12-02 11:19:12.411750,50.75405502319336,5.04404163360595,68.5,6,13,7
2020-12-02 11:19:17.584892,50.754032135009766,5.043976783752441,68.5,6,13,7
2020-12-02 11:19:22.645371,50.753971099853516,5.043833255767822,68.5,6,9,6
2020-12-02 11:19:27.081079,50.75422668457031,5.043866634368896,68.5,6,9,6
2020-12-02 11:19:32.263230,50.75425338745117,5.043888092041015,68.5999984741211,6,6,6
2020-12-02 11:19:37.363979,50.75425338745117,5.043888092041015,68.5999984741211,6,6,6
2020-12-02 11:19:42.646211,50.75425338745117,5.043888092041015,68.5999984741211,6,6,6
2020-12-02 11:19:47.635295,50.75437927246094,5.043921470642,68.69999694824219,6,6,6
2020-12-02 11:19:52.769932,50.75440216064453,5.043951511383056,68.80000305175781,6,6,6
2020-12-02 11:19:57.175469,50.754432678222656,5.04397821426391,68.80000305175781,6,6,6
2020-12-02 11:20:12.811792,50.75444793701172,5.043964862823486,68.9000015258789,0,0,0
2020-12-02 11:20:17.642223,50.75444793701172,5.043964862823486,68.9000015258789,6,6,6
2020-12-02 11:20:22.330381,50.75444793701172,5.043964862823486,68.9000015258789,6,6,6
2020-12-02 11:20:27.273945,50.75444793701172,5.043964862823486,68.9000015258789,6,6,6
2020-12-02 11:20:32.407618,50.75444793701172,5.043964862823486,68.9000015258789,6,6,6
2020-12-02 11:20:37.523315,50.75444793701172,5.043964862823486,68.9000015258789,6,6,6
2020-12-02 11:20:42.869058,50.75444793701172,5.043964862823486,68.9000015258789,6,10,7
2020-12-02 11:20:47.831706,50.75459671020508,5.043970108032226,68.80000305175781,6,10,7
2020-12-02 11:20:52.896058,50.7546272277832,5.043936729431152,68.69999694824219,6,10,7
2020-12-02 11:20:57.486067,50.754638671875,5.043923377990722,68.5999984741211,6,10,7
2020-12-02 11:21:02.535019,50.75463104248047,5.043918132781982,68.5,6,10,7
2020-12-02 11:21:07.607489,50.75463104248047,5.043916702270507,68.5,6,14,8
2020-12-02 11:21:12.738456,50.75463104248047,5.043916702270507,68.5,6,14,8
2020-12-02 11:21:17.844769,50.75463104248047,5.043916702270507,68.5,6,14,8
2020-12-02 11:21:22.558058,50.75463104248047,5.043916702270507,68.5,6,10,7
2020-12-02 11:21:27.491364,50.75463104248047,5.043916702270507,68.5,6,10,7
2020-12-02 11:21:32.611174,50.7545280456543,5.043911457061767,68.5,6,9,6
2020-12-02 11:21:37.975325,50.75444793701172,5.043958187103271,68.5,6,9,6
2020-12-02 11:21:42.813105,50.75440979003906,5.043976783752441,68.5,6,6,6
2020-12-02 11:21:48.005172,50.75438690185547,5.0440115928649,68.5,6,6,6
2020-12-02 11:21:52.382711,50.754371643066406,5.044056892395019,68.4000015258789,6,6,6
2020-12-02 11:21:57.549405,50.75435256958008,5.04408836364746,68.4000015258789,6,6,6
2020-12-02 11:22:02.660511,50.75434494018555,5.04408311843872,68.4000015258789,6,6,6
2020-12-02 11:22:07.780083,50.75433349609375,5.044068336486816,68.4000015258789,6,6,6
2020-12-02 11:22:22.572025,50.75433349609375,5.044068336486816,68.4000015258789,7,7,7
2020-12-02 11:22:27.617831,50.75437927246094,5.043996810913085,68.4000015258789,6,6,6
2020-12-02 11:22:32.735295,50.7544059753418,5.043968200683593,68.4000015258789,7,7,7
2020-12-02 11:22:37.879458,50.7545166015625,5.043920040130615,68.30000305175781,7,7,7
2020-12-02 11:22:42.973088,50.75458908081055,5.043904781341552,68.30000305175781,7,10,7
2020-12-02 11:22:48.139852,50.75462341308594,5.043904781341552,68.30000305175781,7,10,7
2020-12-02 11:22:52.522822,50.75466537475586,5.043896675109863,68.30000305175781,6,9,6
2020-12-02 12:28:13.846707,0.0,0.0,0.0,6,6,6
2020-12-02 12:28:20.509746,0.0,0.0,0.0,6,6,6
2020-12-02 12:28:24.110728,0.0,0.0,0.0,6,6,6
2020-12-02 12:28:29.267223,0.0,0.0,0.0,6,6,6
2020-12-02 12:28:34.387330,0.0,0.0,0.0,6,6,6
2020-12-02 12:28:38.931794,0.0,0.0,0.0,6,6,6
2020-12-02 12:28:44.111486,0.0,0.0,0.0,7,7,7
2020-12-02 12:28:49.021193,0.0,0.0,0.0,7,7,7
