pm1,pm10,pm25,timestamp
3,12,6,2020-11-12 18:50:11.061790
2,10,4,2020-11-12 18:50:16.198690
3,11,5,2020-11-12 18:50:21.223789
3,16,7,2020-11-12 18:50:26.421446
3,12,6,2020-11-12 18:50:31.635428
3,12,6,2020-11-12 18:50:36.540401
3,12,6,2020-11-12 18:50:41.081756
3,16,7,2020-11-12 18:50:46.208028
3,16,7,2020-11-12 18:50:51.496820
3,12,6,2020-11-12 18:50:56.395887
3,7,4,2020-11-12 18:51:01.698848
2,7,4,2020-11-12 18:51:05.988455
2,7,4,2020-11-12 18:51:11.288705
2,7,4,2020-11-12 18:51:16.235547
2,6,3,2020-11-12 18:51:21.554905
2,2,2,2020-11-12 18:51:26.464862
2,2,2,2020-11-12 18:51:31.623611
2,2,2,2020-11-12 18:51:36.062443
2,6,3,2020-11-12 18:51:41.275706
3,6,3,2020-11-12 18:51:46.364968
3,7,4,2020-11-12 18:51:51.460311
3,10,4,2020-11-12 18:51:56.597047
3,15,6,2020-11-12 18:52:36.221517
3,16,7,2020-11-12 18:52:41.572672
3,16,7,2020-11-12 18:52:46.548327
3,15,6,2020-11-12 18:52:51.660312
2,18,6,2020-11-12 18:52:56.758292
2,18,6,2020-11-12 18:53:02.622219
2,18,6,2020-11-12 18:53:06.289822
2,18,6,2020-11-12 18:53:11.490033
2,18,6,2020-11-12 18:53:16.580381
2,14,5,2020-11-12 18:53:21.687835
3,19,7,2020-11-12 18:53:26.800717
3,15,6,2020-11-12 18:53:31.949644
3,15,6,2020-11-12 18:53:36.363164
2,13,4,2020-11-12 18:53:41.585950
2,10,4,2020-11-12 18:53:46.733193
3,7,4,2020-11-12 18:53:51.806260
3,6,3,2020-11-12 18:53:56.900530
3,6,3,2020-11-12 18:54:02.054000
3,4,4,2020-11-12 18:54:06.608073
3,4,4,2020-11-12 18:54:36.684906
3,4,4,2020-11-12 18:54:41.707493
3,5,5,2020-11-12 18:54:46.982809
3,5,5,2020-11-12 18:54:52.097255
3,5,5,2020-11-12 18:54:57.030182
2,4,4,2020-11-12 18:55:01.571873
2,3,3,2020-11-12 18:55:06.884701
2,2,2,2020-11-12 18:55:11.751253
2,2,2,2020-11-12 18:55:16.914000
2,2,2,2020-11-12 18:55:22.072212
2,2,2,2020-11-12 18:55:27.220316
2,2,2,2020-11-12 18:55:31.581583
2,2,2,2020-11-12 18:55:36.807035
2,2,2,2020-11-12 18:55:48.310277
2,5,2,2020-11-12 18:55:52.090803
2,5,2,2020-11-12 18:55:57.268575
3,6,3,2020-11-12 18:56:01.688330
3,6,3,2020-11-12 18:56:06.896167
3,6,3,2020-11-12 18:56:11.996304
3,7,4,2020-11-12 18:56:22.236950
3,6,3,2020-11-12 18:56:27.350671
3,6,3,2020-11-12 18:56:31.736647
3,7,4,2020-11-12 18:56:36.901183
3,10,4,2020-11-12 18:56:42.116297
2,5,2,2020-11-12 18:56:47.139477
2,5,2,2020-11-12 18:56:52.273267
2,9,3,2020-11-12 18:56:57.377987
3,6,3,2020-11-12 18:57:01.801537
3,6,3,2020-11-12 18:57:06.977272
3,6,3,2020-11-12 18:57:12.109134
3,6,3,2020-11-12 18:57:17.528379
3,6,3,2020-11-12 18:57:22.320627
2,9,3,2020-11-12 18:57:27.452434
2,13,4,2020-11-12 18:59:07.396174
3,14,5,2020-11-12 18:59:12.595378
3,14,5,2020-11-12 18:59:17.508959
3,10,4,2020-11-12 18:59:22.693681
3,14,5,2020-11-12 18:59:27.809818
3,10,4,2020-11-12 18:59:32.221935
3,10,4,2020-11-12 18:59:37.364942
3,10,4,2020-11-12 18:59:42.488050
3,6,3,2020-11-12 18:59:47.604772
3,7,4,2020-11-12 18:59:52.738044
3,6,3,2020-11-12 18:59:57.843910
3,3,3,2020-11-12 19:00:02.329459
3,3,3,2020-11-12 19:00:07.758621
2,3,3,2020-11-12 19:00:12.621105
2,2,2,2020-11-12 19:00:17.987374
2,2,2,2020-11-12 19:00:22.812936
2,2,2,2020-11-12 19:00:27.999940
2,2,2,2020-11-12 19:00:32.383350
2,2,2,2020-11-12 19:00:37.763120
2,2,2,2020-11-12 19:00:42.689177
3,3,3,2020-11-12 19:00:47.782017
3,3,3,2020-11-12 19:00:52.964125
3,3,3,2020-11-12 19:00:57.325748
3,3,3,2020-11-12 19:01:03.201112
3,3,3,2020-11-12 19:01:07.611560
3,3,3,2020-11-12 19:01:12.814079
3,3,3,2020-11-12 19:01:17.935961
2,6,3,2020-11-12 19:01:22.969454
2,7,4,2020-11-12 19:01:28.140060
3,4,4,2020-11-12 19:01:32.701896
3,8,5,2020-11-12 19:01:37.760605
3,8,5,2020-11-12 19:01:42.834698
3,8,5,2020-11-12 19:01:48.091831
3,8,5,2020-11-12 19:01:53.020509
3,9,6,2020-11-12 19:01:57.599508
3,8,5,2020-11-12 19:02:02.655628
3,8,5,2020-11-12 19:02:07.782696
3,7,4,2020-11-12 19:02:12.978836
3,3,3,2020-11-12 19:02:18.166945
2,2,2,2020-11-12 19:02:23.111619
2,2,2,2020-11-12 19:02:27.749249
3,3,3,2020-11-12 19:02:32.752411
2,2,2,2020-11-12 19:02:38.193996
2,2,2,2020-11-12 19:02:42.951578
2,2,2,2020-11-12 19:02:48.108039
2,2,2,2020-11-12 19:02:53.227471
2,2,2,2020-11-12 19:02:57.822079
2,2,2,2020-11-12 19:03:02.823006
2,2,2,2020-11-12 19:03:07.979725
2,2,2,2020-11-12 19:03:13.098415
2,2,2,2020-11-12 19:03:18.267817
2,2,2,2020-11-12 19:03:23.319733
2,3,3,2020-11-12 19:03:27.723420
2,3,3,2020-11-12 19:03:32.921331
2,6,3,2020-11-12 19:03:38.054877
3,4,4,2020-11-12 19:03:43.153268
3,4,4,2020-11-12 19:03:48.323214
2,6,3,2020-11-12 19:03:53.359532
2,7,4,2020-11-12 19:03:57.850170
3,7,4,2020-11-12 19:04:03.153180
3,7,4,2020-11-12 19:04:08.133121
3,7,4,2020-11-12 19:04:13.246010
3,7,4,2020-11-12 19:04:18.461142
3,7,4,2020-11-12 19:04:23.536532
3,7,4,2020-11-12 19:04:27.896974
3,7,4,2020-11-12 19:04:33.146175
3,7,4,2020-11-12 19:04:38.288063
3,10,4,2020-11-12 19:04:43.482448
2,13,4,2020-11-12 19:04:48.502494
2,10,4,2020-11-12 19:04:53.796370
2,10,4,2020-11-12 19:04:57.974331
3,11,5,2020-11-12 19:05:03.343356
2,10,4,2020-11-12 19:05:08.256072
2,10,4,2020-11-12 19:05:13.635980
2,10,4,2020-11-12 19:05:18.461892
2,14,5,2020-11-12 19:05:23.620860
2,10,4,2020-11-12 19:05:28.072412
2,14,5,2020-11-12 19:05:33.300113
2,10,4,2020-11-12 19:05:38.369227
2,11,5,2020-11-12 19:05:43.620377
3,8,5,2020-11-12 19:05:48.541743
3,7,4,2020-11-12 19:05:53.697697
3,7,4,2020-11-12 19:05:58.124523
2,5,2,2020-11-12 19:06:03.478145
2,5,2,2020-11-12 19:06:08.383596
2,2,2,2020-11-12 19:06:13.572151
2,2,2,2020-11-12 19:06:18.691242
2,2,2,2020-11-12 19:06:23.782382
2,2,2,2020-11-12 19:06:28.222489
2,2,2,2020-11-12 19:06:33.554650
2,2,2,2020-11-12 19:06:38.470026
2,2,2,2020-11-12 19:06:44.644181
2,2,2,2020-11-12 19:06:48.717387
2,2,2,2020-11-12 19:06:53.402655
2,2,2,2020-11-12 19:06:58.309174
2,2,2,2020-11-12 19:07:03.492093
2,2,2,2020-11-12 19:07:08.607309
2,2,2,2020-11-12 19:07:13.713430
3,3,3,2020-11-12 19:07:18.960614
3,3,3,2020-11-12 19:07:23.262569
3,3,3,2020-11-12 19:07:28.792902
3,3,3,2020-11-12 19:07:33.571233
3,6,3,2020-11-12 19:07:39.122096
3,3,3,2020-11-12 19:07:43.764732
3,6,3,2020-11-12 19:07:48.961009
3,10,4,2020-11-12 19:07:53.367736
3,7,4,2020-11-12 19:07:58.528321
3,10,4,2020-11-12 19:08:03.650751
3,10,4,2020-11-12 19:08:09.043862
3,6,3,2020-11-12 19:08:14.139602
3,10,4,2020-11-12 19:08:18.981132
3,10,4,2020-11-12 19:08:23.606534
2,9,3,2020-11-12 19:08:28.582669
3,10,4,2020-11-12 19:08:33.709314
3,10,4,2020-11-12 19:08:38.831446
3,10,4,2020-11-12 19:08:45.386862
3,6,3,2020-11-12 19:08:49.072777
3,3,3,2020-11-12 19:08:53.486986
3,3,3,2020-11-12 19:08:58.737057
2,2,2,2020-11-12 19:09:03.770113
3,3,3,2020-11-12 19:09:08.885832
3,3,3,2020-11-12 19:09:14.144988
3,3,3,2020-11-12 19:09:19.167060
3,3,3,2020-11-12 19:09:23.567923
3,3,3,2020-11-12 19:09:28.721899
2,2,2,2020-11-12 19:09:34.044550
2,2,2,2020-11-12 19:09:39.124423
2,2,2,2020-11-12 19:09:44.064550
2,2,2,2020-11-12 19:09:49.363258
2,2,2,2020-11-12 19:09:53.665180
3,3,3,2020-11-12 19:09:59.065491
3,3,3,2020-11-12 19:10:03.910228
3,3,3,2020-11-12 19:10:09.208833
3,3,3,2020-11-12 19:10:14.146507
2,5,2,2020-11-12 19:10:20.102496
2,5,2,2020-11-12 19:10:23.747180
2,9,3,2020-11-12 19:10:29.058750
3,10,4,2020-11-12 19:10:33.971016
2,9,3,2020-11-12 19:10:39.231995
3,10,4,2020-11-12 19:10:44.610668
3,11,5,2020-11-12 19:10:49.426487
3,11,5,2020-11-12 19:10:53.813529
3,11,5,2020-11-12 19:10:59.710658
3,11,5,2020-11-12 19:11:04.435373
3,11,5,2020-11-12 19:11:09.181924
3,7,4,2020-11-12 19:11:14.435150
2,6,3,2020-11-12 19:11:19.559830
3,7,4,2020-11-12 19:11:23.889117
2,6,3,2020-11-12 19:11:29.071703
2,6,3,2020-11-12 19:11:34.207653
2,6,3,2020-11-12 19:11:39.321027
2,7,4,2020-11-12 19:11:44.786795
2,6,3,2020-11-12 19:11:49.523124
2,6,3,2020-11-12 19:11:54.008628
2,3,3,2020-11-12 19:11:59.267952
3,4,4,2020-11-12 19:12:04.292710
3,7,4,2020-11-12 19:12:09.920887
3,7,4,2020-11-12 19:12:14.534342
3,4,4,2020-11-12 19:12:19.758319
3,3,3,2020-11-12 19:12:24.055016
3,3,3,2020-11-12 19:12:29.279890
2,2,2,2020-11-12 19:12:34.384825
3,3,3,2020-11-12 19:12:40.264176
3,3,3,2020-11-12 19:12:44.691749
3,3,3,2020-11-12 19:12:49.170517
2,2,2,2020-11-12 19:12:54.189302
2,2,2,2020-11-12 19:12:59.460509
2,2,2,2020-11-12 19:13:04.752616
2,2,2,2020-11-12 19:13:10.037232
2,2,2,2020-11-12 19:13:15.012183
2,2,2,2020-11-12 19:13:19.251146
2,2,2,2020-11-12 19:13:24.281896
3,3,3,2020-11-12 19:13:29.560434
2,2,2,2020-11-12 19:13:34.645092
2,2,2,2020-11-12 19:13:39.566793
3,3,3,2020-11-12 19:13:44.883590
3,3,3,2020-11-12 19:13:49.183408
2,2,2,2020-11-12 19:13:54.355355
2,2,2,2020-11-12 19:13:59.466099
2,5,2,2020-11-12 19:14:04.749907
2,6,3,2020-11-12 19:14:09.899391
2,7,4,2020-11-12 19:14:19.904264
2,7,4,2020-11-12 19:14:24.445719
2,7,4,2020-11-12 19:14:29.588249
2,10,4,2020-11-12 19:14:35.098552
3,8,5,2020-11-12 19:14:39.753597
3,11,5,2020-11-12 19:14:44.924711
3,11,5,2020-11-12 19:14:49.342887
3,8,5,2020-11-12 19:14:54.651295
3,8,5,2020-11-12 19:14:59.584468
3,8,5,2020-11-12 19:15:04.767660
3,8,5,2020-11-12 19:15:09.954891
2,3,3,2020-11-12 19:15:14.983173
2,6,3,2020-11-12 19:15:19.408090
2,7,4,2020-11-12 19:15:24.968738
2,7,4,2020-11-12 19:15:29.833432
2,6,3,2020-11-12 19:15:34.803548
2,6,3,2020-11-12 19:15:39.947491
2,7,4,2020-11-12 19:15:45.138514
3,8,5,2020-11-12 19:15:49.531507
3,8,5,2020-11-12 19:15:54.686981
3,7,4,2020-11-12 19:15:59.857407
3,7,4,2020-11-12 19:16:04.942865
2,6,3,2020-11-12 19:16:10.136339
2,6,3,2020-11-12 19:16:16.398716
2,6,3,2020-11-12 19:16:19.577873
2,5,2,2020-11-12 19:16:24.736452
2,5,2,2020-11-12 19:16:29.887208
2,5,2,2020-11-12 19:16:34.982507
2,5,2,2020-11-12 19:16:40.110734
2,2,2,2020-11-12 19:16:45.235230
3,3,3,2020-11-12 19:16:49.662843
3,3,3,2020-11-12 19:16:54.944119
3,3,3,2020-11-12 19:17:00.399392
3,3,3,2020-11-12 19:17:05.088247
3,3,3,2020-11-12 19:17:10.193761
2,2,2,2020-11-12 19:17:15.933581
3,3,3,2020-11-12 19:17:19.735244
2,2,2,2020-11-12 19:17:25.058808
2,2,2,2020-11-12 19:17:30.091506
2,2,2,2020-11-12 19:17:35.122238
3,3,3,2020-11-12 19:17:40.241636
3,3,3,2020-11-12 19:17:45.459181
2,2,2,2020-11-12 19:17:49.801794
3,3,3,2020-11-12 19:17:54.958607
3,3,3,2020-11-12 19:18:00.121880
2,2,2,2020-11-12 19:18:05.211270
2,5,2,2020-11-12 19:18:10.336247
2,9,3,2020-11-12 19:18:18.964033
2,9,3,2020-11-12 19:18:19.882715
2,9,3,2020-11-12 19:18:25.062479
3,10,4,2020-11-12 19:18:30.183404
2,13,4,2020-11-12 19:18:35.278394
3,14,5,2020-11-12 19:18:40.501664
3,10,4,2020-11-12 19:18:45.544586
3,10,4,2020-11-12 19:18:49.964639
2,9,3,2020-11-12 19:18:56.072497
2,9,3,2020-11-12 19:19:00.269235
2,13,4,2020-11-12 19:19:05.442516
2,9,3,2020-11-12 19:19:10.485535
2,9,3,2020-11-12 19:19:16.406454
2,10,4,2020-11-12 19:19:20.059796
2,10,4,2020-11-12 19:19:25.238025
2,10,4,2020-11-12 19:19:30.716004
2,6,3,2020-11-12 19:19:35.438231
2,6,3,2020-11-12 19:19:40.593551
2,10,4,2020-11-12 19:19:45.936105
2,13,4,2020-11-12 19:19:50.167344
2,14,5,2020-11-12 19:19:55.860312
2,13,4,2020-11-12 19:20:00.476517
3,14,5,2020-11-12 19:20:05.590743
3,11,5,2020-11-12 19:20:10.684542
2,13,4,2020-11-12 19:20:15.098413
2,13,4,2020-11-12 19:20:20.356300
2,13,4,2020-11-12 19:20:25.382365
2,13,4,2020-11-12 19:20:30.519490
2,13,4,2020-11-12 19:20:35.629853
2,13,4,2020-11-12 19:20:40.751818
2,13,4,2020-11-12 19:20:45.163438
2,9,3,2020-11-12 19:20:50.329052
2,9,3,2020-11-12 19:20:56.613665
2,9,3,2020-11-12 19:21:00.616673
3,6,3,2020-11-12 19:21:05.691092
3,3,3,2020-11-12 19:21:10.807669
3,3,3,2020-11-12 19:21:15.242719
3,3,3,2020-11-12 19:21:20.459044
3,6,3,2020-11-12 19:21:25.568662
3,6,3,2020-11-12 19:21:30.671487
2,2,2,2020-11-12 19:21:35.773131
2,2,2,2020-11-12 19:21:40.878256
2,2,2,2020-11-12 19:21:45.323137
2,2,2,2020-11-12 19:21:50.481859
2,2,2,2020-11-12 19:21:56.238992
3,3,3,2020-11-12 19:22:00.743856
3,3,3,2020-11-12 19:22:05.915147
3,3,3,2020-11-12 19:22:10.963502
3,3,3,2020-11-12 19:22:15.403024
3,3,3,2020-11-12 19:22:20.566656
3,3,3,2020-11-12 19:22:25.739900
3,3,3,2020-11-12 19:22:30.935816
3,3,3,2020-11-12 19:22:35.930121
3,3,3,2020-11-12 19:22:41.074623
3,6,3,2020-11-12 19:22:45.484603
3,6,3,2020-11-12 19:22:50.855233
3,6,3,2020-11-12 19:22:58.036574
2,5,2,2020-11-12 19:23:01.067185
2,5,2,2020-11-12 19:23:06.563033
2,5,2,2020-11-12 19:23:11.156064
2,2,2,2020-11-12 19:23:15.563808
2,2,2,2020-11-12 19:23:21.166424
3,6,3,2020-11-12 19:23:25.869801
3,6,3,2020-11-12 19:23:30.982773
3,6,3,2020-11-12 19:23:36.291182
2,5,2,2020-11-12 19:23:41.209490
2,2,2,2020-11-12 19:23:45.696822
2,2,2,2020-11-12 19:23:50.879389
2,2,2,2020-11-12 19:23:56.183090
2,5,2,2020-11-12 19:24:01.096256
2,5,2,2020-11-12 19:24:06.243053
2,5,2,2020-11-12 19:24:11.336784
2,6,3,2020-11-12 19:24:15.739447
2,6,3,2020-11-12 19:24:20.969211
2,5,2,2020-11-12 19:24:26.064503
2,5,2,2020-11-12 19:24:31.158710
2,5,2,2020-11-12 19:24:36.319682
2,6,3,2020-11-12 19:24:41.376119
2,6,3,2020-11-12 19:24:45.803794
3,7,4,2020-11-12 19:24:50.992869
3,7,4,2020-11-12 19:24:57.639885
3,6,3,2020-11-12 19:25:01.269307
3,3,3,2020-11-12 19:25:06.380679
3,3,3,2020-11-12 19:25:11.445376
3,3,3,2020-11-12 19:25:16.044350
2,2,2,2020-11-12 19:25:21.076813
2,2,2,2020-11-12 19:25:26.182468
2,2,2,2020-11-12 19:25:31.340279
2,2,2,2020-11-12 19:25:36.444717
2,2,2,2020-11-12 19:25:41.676984
2,2,2,2020-11-12 19:25:45.963155
3,3,3,2020-11-12 19:25:51.180256
2,2,2,2020-11-12 19:25:57.489287
3,3,3,2020-11-12 19:26:01.397340
3,6,3,2020-11-12 19:26:06.483941
3,6,3,2020-11-12 19:26:11.601693
3,14,5,2020-11-12 19:26:16.043398
3,14,5,2020-11-12 19:26:21.238292
3,14,5,2020-11-12 19:26:26.485110
3,18,6,2020-11-12 19:26:31.471654
3,18,6,2020-11-12 19:26:36.592848
3,18,6,2020-11-12 19:26:41.020771
3,14,5,2020-11-12 19:26:46.168057
3,18,6,2020-11-12 19:26:51.461590
3,18,6,2020-11-12 19:26:56.391339
3,22,7,2020-11-12 19:27:01.603144
2,17,5,2020-11-12 19:27:06.731360
3,22,7,2020-11-12 19:27:11.102983
3,14,5,2020-11-12 19:27:16.636135
2,13,4,2020-11-12 19:27:21.373518
2,13,4,2020-11-12 19:27:26.490440
2,9,3,2020-11-12 19:27:31.606414
2,9,3,2020-11-12 19:27:36.748894
2,9,3,2020-11-12 19:27:41.209913
2,9,3,2020-11-12 19:27:46.426133
2,13,4,2020-11-12 19:27:51.515411
2,9,3,2020-11-12 19:27:57.870543
3,6,3,2020-11-12 19:28:01.734678
2,5,2,2020-11-12 19:28:06.870481
3,6,3,2020-11-12 19:28:11.258093
3,6,3,2020-11-12 19:28:16.593610
2,5,2,2020-11-12 19:28:21.901780
2,5,2,2020-11-12 19:28:26.689087
2,5,2,2020-11-12 19:28:31.799710
3,6,3,2020-11-12 19:28:36.964030
2,5,2,2020-11-12 19:28:41.323010
3,10,4,2020-11-12 19:28:46.532774
3,6,3,2020-11-12 19:28:51.600590
3,6,3,2020-11-12 19:28:58.483783
3,6,3,2020-11-12 19:29:02.815422
3,6,3,2020-11-12 19:29:06.984559
3,3,3,2020-11-12 19:29:11.406867
2,2,2,2020-11-12 19:29:16.824715
2,2,2,2020-11-12 19:29:21.700906
2,2,2,2020-11-12 19:29:26.870853
2,2,2,2020-11-12 19:29:31.921490
2,2,2,2020-11-12 19:29:36.547437
2,2,2,2020-11-12 19:29:41.553546
2,2,2,2020-11-12 19:29:46.922904
2,2,2,2020-11-12 19:29:51.922374
2,2,2,2020-11-12 19:29:56.864969
2,2,2,2020-11-12 19:30:02.528274
2,2,2,2020-11-12 19:30:07.192824
2,2,2,2020-11-12 19:30:11.581988
2,2,2,2020-11-12 19:30:16.888644
3,3,3,2020-11-12 19:30:22.511704
3,3,3,2020-11-12 19:30:27.042958
3,3,3,2020-11-12 19:30:32.125154
2,2,2,2020-11-12 19:30:37.249225
3,3,3,2020-11-12 19:30:41.642023
2,2,2,2020-11-12 19:30:46.927689
2,5,2,2020-11-12 19:30:51.918975
2,5,2,2020-11-12 19:30:57.417964
2,2,2,2020-11-12 19:31:02.201402
2,2,2,2020-11-12 19:31:07.321334
2,2,2,2020-11-12 19:31:11.723256
2,2,2,2020-11-12 19:31:16.887730
2,2,2,2020-11-12 19:31:22.076180
2,2,2,2020-11-12 19:31:27.168249
2,5,2,2020-11-12 19:31:32.239508
2,5,2,2020-11-12 19:31:37.369670
2,5,2,2020-11-12 19:31:41.865662
2,5,2,2020-11-12 19:31:47.072184
2,2,2,2020-11-12 19:31:52.135180
2,5,2,2020-11-12 19:31:58.612187
2,6,3,2020-11-12 19:32:02.369335
2,6,3,2020-11-12 19:32:07.559769
2,6,3,2020-11-12 19:32:11.900683
2,6,3,2020-11-12 19:32:17.085582
2,6,3,2020-11-12 19:32:22.250035
2,6,3,2020-11-12 19:32:27.300712
2,6,3,2020-11-12 19:32:32.413894
2,6,3,2020-11-12 19:32:36.842143
3,7,4,2020-11-12 19:32:42.116424
3,7,4,2020-11-12 19:32:47.218298
3,3,3,2020-11-12 19:32:58.528556
3,3,3,2020-11-12 19:33:02.511573
3,3,3,2020-11-12 19:33:06.930743
2,5,2,2020-11-12 19:33:12.119799
2,5,2,2020-11-12 19:33:17.197912
2,5,2,2020-11-12 19:33:22.370278
2,9,3,2020-11-12 19:33:27.538121
2,9,3,2020-11-12 19:33:32.631299
2,5,2,2020-11-12 19:33:37.687479
2,5,2,2020-11-12 19:33:42.134837
2,9,3,2020-11-12 19:33:47.280909
2,9,3,2020-11-12 19:33:52.398613
3,10,4,2020-11-12 19:33:57.866726
3,7,4,2020-11-12 19:34:02.638781
3,7,4,2020-11-12 19:34:07.082789
3,6,3,2020-11-12 19:34:12.244903
3,3,3,2020-11-12 19:34:17.620395
3,3,3,2020-11-12 19:34:22.513273
3,3,3,2020-11-12 19:34:27.606800
2,2,2,2020-11-12 19:34:32.769890
2,2,2,2020-11-12 19:34:37.173543
2,2,2,2020-11-12 19:34:42.447048
2,2,2,2020-11-12 19:34:47.443455
2,5,2,2020-11-12 19:34:52.725871
2,5,2,2020-11-12 19:34:57.667498
2,5,2,2020-11-12 19:35:02.840726
2,5,2,2020-11-12 19:35:07.263256
2,5,2,2020-11-12 19:35:13.181289
2,5,2,2020-11-12 19:35:17.647124
2,5,2,2020-11-12 19:35:22.645393
2,9,3,2020-11-12 19:35:27.786007
2,9,3,2020-11-12 19:35:32.883514
2,9,3,2020-11-12 19:35:37.371593
2,9,3,2020-11-12 19:35:42.527688
2,9,3,2020-11-12 19:35:47.827535
2,5,2,2020-11-12 19:35:52.882346
2,9,3,2020-11-12 19:35:58.016440
2,9,3,2020-11-12 19:36:03.005024
2,9,3,2020-11-12 19:36:07.419180
2,6,3,2020-11-12 19:36:12.633565
2,5,2,2020-11-12 19:36:17.714479
2,2,2,2020-11-12 19:36:22.883557
2,2,2,2020-11-12 19:36:27.953209
2,2,2,2020-11-12 19:36:33.137268
2,2,2,2020-11-12 19:36:37.484277
2,2,2,2020-11-12 19:36:42.662912
2,2,2,2020-11-12 19:36:47.765741
2,2,2,2020-11-12 19:36:52.901019
2,2,2,2020-11-12 19:36:58.366722
2,2,2,2020-11-12 19:37:03.181347
2,2,2,2020-11-12 19:37:07.568295
2,2,2,2020-11-12 19:37:12.747206
2,2,2,2020-11-12 19:37:17.844426
2,2,2,2020-11-12 19:37:22.963299
2,2,2,2020-11-12 19:37:28.123780
2,2,2,2020-11-12 19:37:33.198423
2,2,2,2020-11-12 19:37:37.641922
2,2,2,2020-11-12 19:37:42.925516
3,3,3,2020-11-12 19:37:47.919972
2,2,2,2020-11-12 19:37:53.066553
2,2,2,2020-11-12 19:37:58.191857
3,3,3,2020-11-12 19:38:03.300116
3,3,3,2020-11-12 19:38:07.729071
2,2,2,2020-11-12 19:38:13.377076
2,2,2,2020-11-12 19:38:17.999512
3,3,3,2020-11-12 19:38:23.141156
2,2,2,2020-11-12 19:38:28.441121
2,2,2,2020-11-12 19:38:32.889621
2,2,2,2020-11-12 19:38:38.047561
2,2,2,2020-11-12 19:38:42.946627
2,2,2,2020-11-12 19:38:48.138496
2,2,2,2020-11-12 19:38:53.491924
2,2,2,2020-11-12 19:38:59.193274
2,2,2,2020-11-12 19:39:02.782936
2,2,2,2020-11-12 19:39:07.940427
2,2,2,2020-11-12 19:39:13.079592
3,3,3,2020-11-12 19:39:18.158995
2,2,2,2020-11-12 19:39:23.515046
2,2,2,2020-11-12 19:39:28.410876
2,2,2,2020-11-12 19:39:32.897303
2,2,2,2020-11-12 19:39:38.047877
2,5,2,2020-11-12 19:39:43.173003
2,5,2,2020-11-12 19:39:48.316028
3,6,3,2020-11-12 19:39:53.416834
3,7,4,2020-11-12 19:39:58.668512
3,6,3,2020-11-12 19:40:02.938861
3,6,3,2020-11-12 19:40:08.399072
3,6,3,2020-11-12 19:40:13.981500
3,7,4,2020-11-12 19:40:18.690576
2,6,3,2020-11-12 19:40:23.424587
2,2,2,2020-11-12 19:40:28.623401
2,6,3,2020-11-12 19:40:33.050296
2,6,3,2020-11-12 19:40:38.180307
2,2,2,2020-11-12 19:40:43.309578
2,2,2,2020-11-12 19:40:48.410577
